DataLength;Linear search steps;Linear search memory;Binary search steps;Binary search memory;
1;1;4;1;12;
2;1;4;1;12;
3;3;4;2;12;
4;3;4;2;12;
5;5;4;2;12;
6;6;4;2;12;
7;1;4;2;12;
8;8;4;3;12;
9;9;4;3;12;
10;10;4;3;12;
11;11;4;3;12;
12;6;4;1;12;
13;13;4;4;12;
14;6;4;4;12;
15;15;4;4;12;
16;16;4;4;12;
17;17;4;4;12;
18;7;4;4;12;
19;19;4;4;12;
20;20;4;4;12;
21;21;4;5;12;
22;3;4;4;12;
23;23;4;4;12;
24;24;4;5;12;
25;25;4;5;12;
26;5;4;5;12;
27;22;4;4;12;
28;27;4;4;12;
29;29;4;5;12;
30;23;4;2;12;
31;31;4;5;12;
32;1;4;4;12;
33;9;4;5;12;
34;10;4;4;12;
35;35;4;5;12;
36;31;4;6;12;
37;37;4;5;12;
38;38;4;6;12;
39;39;4;5;12;
40;40;4;5;12;
41;41;4;6;12;
42;42;4;5;12;
43;43;4;6;12;
44;44;4;5;12;
45;45;4;6;12;
46;30;4;5;12;
47;38;4;6;12;
48;48;4;5;12;
49;33;4;4;12;
50;50;4;6;12;
51;51;4;6;12;
52;50;4;6;12;
53;17;4;3;12;
54;54;4;6;12;
55;55;4;5;12;
56;56;4;6;12;
57;27;4;5;12;
58;58;4;6;12;
59;59;4;6;12;
60;30;4;1;12;
61;61;4;5;12;
62;62;4;6;12;
63;57;4;6;12;
64;9;4;6;12;
65;65;4;7;12;
66;66;4;6;12;
67;67;4;6;12;
68;29;4;4;12;
69;69;4;6;12;
70;23;4;5;12;
71;8;4;7;12;
72;43;4;6;12;
73;73;4;6;12;
74;52;4;5;12;
75;75;4;6;12;
76;37;4;7;12;
77;21;4;5;12;
78;78;4;6;12;
79;79;4;6;12;
80;80;4;6;12;
81;63;4;5;12;
82;82;4;7;12;
83;66;4;6;12;
84;48;4;6;12;
85;85;4;6;12;
86;86;4;7;12;
87;66;4;2;12;
88;50;4;6;12;
89;89;4;6;12;
90;7;4;7;12;
91;91;4;7;12;
92;92;4;7;12;
93;66;4;7;12;
94;51;4;6;12;
95;95;4;7;12;
96;96;4;7;12;
97;97;4;7;12;
98;46;4;7;12;
99;62;4;3;12;
100;45;4;7;12;
