DataLength;Get array elem steps;Get array elem memory;Find element steps;Find element memory;Bubble sort steps;Bubble sort memory;
1;2;0;1;4;0;12;
2;2;0;2;4;1;12;
3;2;0;3;4;15;12;
4;2;0;4;4;22;12;
5;2;0;5;4;22;12;
6;2;0;6;4;23;12;
7;2;0;7;4;61;12;
8;2;0;8;4;96;12;
9;2;0;9;4;96;12;
10;2;0;10;4;125;12;
11;2;0;11;4;191;12;
12;2;0;12;4;202;12;
13;2;0;13;4;258;12;
14;2;0;14;4;299;12;
15;2;0;15;4;305;12;
16;2;0;16;4;384;12;
17;2;0;17;4;364;12;
18;2;0;18;4;581;12;
19;2;0;19;4;539;12;
20;2;0;20;4;670;12;
21;2;0;21;4;590;12;
22;2;0;22;4;743;12;
23;2;0;23;4;701;12;
24;2;0;24;4;784;12;
25;2;0;25;4;960;12;
26;2;0;26;4;1025;12;
27;2;0;27;4;1223;12;
28;2;0;28;4;1290;12;
29;2;0;29;4;1146;12;
30;2;0;30;4;1263;12;
31;2;0;31;4;1161;12;
32;2;0;32;4;1336;12;
33;2;0;33;4;1716;12;
34;2;0;34;4;1681;12;
35;2;0;35;4;1811;12;
36;2;0;36;4;2022;12;
37;2;0;37;4;1902;12;
38;2;0;38;4;2263;12;
39;2;0;39;4;2321;12;
40;2;0;40;4;2568;12;
41;2;0;41;4;2640;12;
42;2;0;42;4;2313;12;
43;2;0;43;4;2611;12;
44;2;0;44;4;2706;12;
45;2;0;45;4;2770;12;
46;2;0;46;4;3003;12;
47;2;0;47;4;3609;12;
48;2;0;48;4;3320;12;
49;2;0;49;4;3572;12;
50;2;0;50;4;3609;12;
51;2;0;51;4;4287;12;
52;2;0;52;4;3806;12;
53;2;0;53;4;4482;12;
54;2;0;54;4;4711;12;
55;2;0;55;4;4473;12;
56;2;0;56;4;4940;12;
57;2;0;57;4;4592;12;
58;2;0;58;4;4833;12;
59;2;0;59;4;5007;12;
60;2;0;60;4;5450;12;
61;2;0;61;4;5526;12;
62;2;0;62;4;6203;12;
63;2;0;63;4;5949;12;
64;2;0;64;4;6348;12;
65;2;0;65;4;6388;12;
66;2;0;66;4;6681;12;
67;2;0;67;4;6251;12;
68;2;0;68;4;6730;12;
69;2;0;69;4;6834;12;
70;2;0;70;4;7419;12;
71;2;0;71;4;8277;12;
72;2;0;72;4;7520;12;
73;2;0;73;4;7220;12;
74;2;0;74;4;8565;12;
75;2;0;75;4;8543;12;
76;2;0;76;4;8490;12;
77;2;0;77;4;8182;12;
78;2;0;78;4;9035;12;
79;2;0;79;4;9077;12;
80;2;0;80;4;9620;12;
81;2;0;81;4;9244;12;
82;2;0;82;4;10197;12;
83;2;0;83;4;10375;12;
84;2;0;84;4;10866;12;
85;2;0;85;4;9962;12;
86;2;0;86;4;10707;12;
87;2;0;87;4;10649;12;
88;2;0;88;4;11876;12;
89;2;0;89;4;10976;12;
90;2;0;90;4;12961;12;
91;2;0;91;4;10823;12;
92;2;0;92;4;13166;12;
93;2;0;93;4;12110;12;
94;2;0;94;4;12747;12;
95;2;0;95;4;13497;12;
96;2;0;96;4;13344;12;
97;2;0;97;4;12912;12;
98;2;0;98;4;13725;12;
99;2;0;99;4;15475;12;
100;2;0;100;4;14726;12;
