DataLength;Steps;Memory;
0;1;0;
1;1;0;
2;10;2;
3;21;3;
4;40;4;
5;55;5;
6;78;6;
7;97;7;
8;124;8;
9;161;9;
10;186;10;
11;227;11;
12;262;12;
13;293;13;
14;332;14;
15;383;15;
16;434;16;
17;473;17;
18;528;18;
19;577;19;
20;622;20;
21;685;21;
22;740;22;
23;805;23;
24;882;24;
25;943;25;
26;1000;26;
27;1065;27;
28;1126;28;
29;1195;29;
30;1310;30;
31;1383;31;
32;1468;32;
33;1539;33;
34;1644;34;
35;1719;35;
36;1810;36;
37;1905;37;
38;1992;38;
39;2095;39;
40;2194;40;
41;2281;41;
42;2402;42;
43;2493;43;
44;2592;44;
45;2687;45;
46;2826;46;
47;2969;47;
48;3076;48;
49;3179;49;
50;3290;50;
51;3411;51;
52;3520;52;
53;3665;53;
54;3796;54;
55;3927;55;
56;4058;56;
57;4177;57;
58;4312;58;
59;4441;59;
60;4566;60;
61;4731;61;
62;4912;62;
63;5049;63;
64;5182;64;
65;5323;65;
66;5518;66;
67;5671;67;
68;5846;68;
69;5989;69;
70;6140;70;
71;6301;71;
72;6482;72;
73;6649;73;
74;6822;74;
75;6983;75;
76;7154;76;
77;7343;77;
78;7510;78;
79;7705;79;
80;7900;80;
81;8067;81;
82;8266;82;
83;8437;83;
84;8634;84;
85;8815;85;
86;9006;86;
87;9211;87;
88;9398;88;
89;9581;89;
90;9772;90;
91;10001;91;
92;10218;92;
93;10415;93;
94;10640;94;
95;10841;95;
96;11052;96;
97;11293;97;
98;11494;98;
99;11783;99;
